fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สัญญา นิลสุพรรณ,50364,5,2026-02-07T16:49:10.564Z,61.35,1,42,#44a26e,พรรคกล้าธรรม
ยุทธการ พลแสน,17949,3,2026-02-07T16:49:08.063Z,21.86,2,46,#ff6412,พรรคประชาชน
สัญชัย วงษ์สุนทร,6239,1,2026-02-07T16:49:04.719Z,7.6,3,9,#fe0000,พรรคเพื่อไทย
มารุต โมราสุข,2645,4,2026-02-07T16:49:09.325Z,3.22,4,27,#70c0fd,พรรคประชาธิปัตย์
อภิวัฒน์ เขม้นเขตกิจ,2131,7,2026-02-07T16:49:12.470Z,2.6,5,37,#131c5f,พรรคภูมิใจไทย
นิรุด เรืองงาม,1968,2,2026-02-07T16:49:05.703Z,2.4,6,11,#febd2f,พรรคเศรษฐกิจ
ปุญญ์ชญาฌ์ ท้วมโพธิ์แก้ว,617,6,2026-02-07T16:49:11.851Z,0.75,7,4,#02137d,พรรคมิติใหม่
ธงชัย ชัยธสุวรรณ,178,8,2026-02-07T16:49:13.708Z,0.22,8,8,#ee5e17,พรรคประชาธิปไตยใหม่
