fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ศิวะ พงศ์ธีระดุลย์,26551,5,2026-02-07T16:49:10.255Z,35.76,1,9,#fe0000,พรรคเพื่อไทย
ธนกฤต จรรย์โกมล,21560,2,2026-02-07T16:49:05.703Z,29.04,2,37,#131c5f,พรรคภูมิใจไทย
สุขสันต์ ชื่นจิตร,17407,4,2026-02-07T16:49:09.325Z,23.44,3,42,#44a26e,พรรคกล้าธรรม
อภิเดช ประทุมแก้ว,6240,6,2026-02-07T16:49:11.214Z,8.4,4,46,#ff6412,พรรคประชาชน
ปิยชัย โชติมาวณิช,620,10,2026-02-07T16:49:14.535Z,0.84,5,11,#febd2f,พรรคเศรษฐกิจ
ชยนนท์ คำเบ้า,546,1,2026-02-07T16:49:04.719Z,0.74,6,27,#70c0fd,พรรคประชาธิปัตย์
วิชัย ปัญญา,531,9,2026-02-07T16:49:14.267Z,0.72,7,1,#e41d24,พรรคไทยทรัพย์ทวี
ส.อ.นิติภัส สุภาพงษ์นันทกุล,342,3,2026-02-07T16:49:07.314Z,0.46,8,6,#243180,พรรครวมไทยสร้างชาติ
จงเจริญ เอกทวีกุล,242,11,2026-02-07T16:49:14.795Z,0.33,9,31,#0641e7,พรรคประชากรไทย
ศรคม ฦาชา,164,7,2026-02-07T16:49:12.802Z,0.22,10,43,#096735,พรรคพลังประชารัฐ
หนูเสน พรมวงศ์,45,8,2026-02-07T16:49:13.442Z,0.06,11,10,#006aee,พรรคทางเลือกใหม่
