fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สมเกียรติ ตันดิลกตระกูล,37213,1,2026-02-07T16:49:04.719Z,44.32,1,9,#fe0000,พรรคเพื่อไทย
ทวิรัฐ รัตนเศรษฐ,29409,7,2026-02-07T16:49:12.470Z,35.03,2,37,#131c5f,พรรคภูมิใจไทย
กฤศวัฒน์ เลิศวิริยาภรณ์,13111,4,2026-02-07T16:49:09.009Z,15.62,3,46,#ff6412,พรรคประชาชน
วีระพงษ์ แดนพิมาย,1441,6,2026-02-07T16:49:11.538Z,1.72,4,11,#febd2f,พรรคเศรษฐกิจ
พิมนกาลล์ ธีร์ก้านพลูกลาง,1118,9,2026-02-07T16:49:13.980Z,1.33,5,43,#096735,พรรคพลังประชารัฐ
สุกิจ อ่อนขาว,789,2,2026-02-07T16:49:05.224Z,0.94,6,27,#70c0fd,พรรคประชาธิปัตย์
ธนวัฒน์ ผาสุขมูล,579,5,2026-02-07T16:49:10.255Z,0.69,7,42,#44a26e,พรรคกล้าธรรม
ชวัลลักษณ์ ทองสันเทียะ,301,8,2026-02-07T16:49:13.442Z,0.36,8,29,#36b54c,พรรคไทยภักดี
