fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พรชัย ศรีสุริยันโยธิน,42445,5,2026-02-07T16:49:09.941Z,64.03,1,37,#131c5f,พรรคภูมิใจไทย
พรรณธนู วรรณกางซ้าย,12811,3,2026-02-07T16:49:06.995Z,19.33,2,9,#fe0000,พรรคเพื่อไทย
ณัฏฐชัย สวัสดี,8169,1,2026-02-07T16:49:04.719Z,12.32,3,46,#ff6412,พรรคประชาชน
ธีรยุทธ อินทรกำแหง,766,8,2026-02-07T16:49:13.129Z,1.16,4,11,#febd2f,พรรคเศรษฐกิจ
สมพงษ์ แช่มรัมย์,644,9,2026-02-07T16:49:13.980Z,0.97,5,31,#0641e7,พรรคประชากรไทย
ณโมรี ฉกรรจ์ศิลป์,466,2,2026-02-07T16:49:05.703Z,0.7,6,27,#70c0fd,พรรคประชาธิปัตย์
คำก่าย กองพร,398,4,2026-02-07T16:49:08.685Z,0.6,7,6,#243180,พรรครวมไทยสร้างชาติ
บุญเพ็ง สุรักษ์,297,6,2026-02-07T16:49:11.214Z,0.45,8,23,#293f8b,พรรคปวงชนไทย
วุฒิชัย สุขพรรณดอน,296,7,2026-02-07T16:49:13.129Z,0.45,9,42,#44a26e,พรรคกล้าธรรม
