fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พิชญุตม์ พอจิต,34929,2,2026-02-07T16:49:05.703Z,49.03,1,37,#131c5f,พรรคภูมิใจไทย
อัญชิสา ศุภรักษ์จินดา,19435,3,2026-02-07T16:49:06.995Z,27.28,2,9,#fe0000,พรรคเพื่อไทย
ธนัชชา แสนสุขุม,15249,1,2026-02-07T16:49:03.607Z,21.41,3,46,#ff6412,พรรคประชาชน
อาณัติ วงค์สถาน,747,5,2026-02-07T16:49:10.564Z,1.05,4,27,#70c0fd,พรรคประชาธิปัตย์
ดวงใจ มงคลแสงสุรีย์,626,4,2026-02-07T16:49:09.009Z,0.88,5,6,#243180,พรรครวมไทยสร้างชาติ
ปภสร เตชารัตนหิรัญ,252,6,2026-02-07T16:49:11.214Z,0.35,6,42,#44a26e,พรรคกล้าธรรม
