fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พีรพัฒน์ รัชกิจประการ,36435,3,2026-02-07T16:49:08.063Z,47.27,1,37,#131c5f,พรรคภูมิใจไทย
สุลต่าน อิสมาแอลชาห์,16228,7,2026-02-07T16:49:12.175Z,21.05,2,42,#44a26e,พรรคกล้าธรรม
บุคอรีย์ สนูวงศ์,16009,1,2026-02-07T16:49:04.214Z,20.77,3,46,#ff6412,พรรคประชาชน
วัชรพงศ์ เกษา,5827,4,2026-02-07T16:49:09.325Z,7.56,4,27,#70c0fd,พรรคประชาธิปัตย์
ณัฐพล สาดอาหลี,1659,2,2026-02-07T16:49:06.598Z,2.15,5,9,#fe0000,พรรคเพื่อไทย
ธนาคม พจนาพิทักษ์,491,5,2026-02-07T16:49:09.941Z,0.64,6,49,#f6ec4c,พรรคไทยก้าวใหม่
นาวี พรหมทรัพย์,431,6,2026-02-07T16:49:10.889Z,0.56,7,6,#243180,พรรครวมไทยสร้างชาติ
