fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชาญชัย คำจำปา,38829,1,2026-02-07T16:49:04.214Z,44.51,1,9,#fe0000,พรรคเพื่อไทย
ชูกัน กุลวงษา,33139,3,2026-02-07T16:49:08.063Z,37.98,2,37,#131c5f,พรรคภูมิใจไทย
วุฒิพงษ์ มีบุญ,11139,2,2026-02-07T16:49:06.180Z,12.77,3,46,#ff6412,พรรคประชาชน
บัญชา มาตย์วังแสง,1558,9,2026-02-07T16:49:14.267Z,1.79,4,36,#27c500,พรรคไทยพร้อม
สุริยา พรหมดี,702,11,2026-02-07T16:49:14.795Z,0.8,5,48,#7c26df,พรรคไทยสร้างไทย
รัตติภรณ์ ทุมเที่ยง,604,6,2026-02-07T16:49:11.538Z,0.69,6,11,#febd2f,พรรคเศรษฐกิจ
วิลัย ยศสุริยะชัย,434,4,2026-02-07T16:49:08.685Z,0.5,7,23,#293f8b,พรรคปวงชนไทย
เกษราภัส เชื้อคำเพ็ง,264,5,2026-02-07T16:49:09.941Z,0.3,8,42,#44a26e,พรรคกล้าธรรม
บัวลา จันทร์แก้ว,245,7,2026-02-07T16:49:12.802Z,0.28,9,27,#70c0fd,พรรคประชาธิปัตย์
กฐสักกษัษฐี โคตุทา,220,8,2026-02-07T16:49:13.129Z,0.25,10,6,#243180,พรรครวมไทยสร้างชาติ
ณัฐพร ฝาระมี,110,10,2026-02-07T16:49:14.535Z,0.13,11,43,#096735,พรรคพลังประชารัฐ
