fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พิษณุ พลธี,44519,4,2026-02-07T16:49:09.009Z,54.57,1,37,#131c5f,พรรคภูมิใจไทย
ธันยนันท์ ไพบูลย์สุข,25783,7,2026-02-07T16:49:12.802Z,31.61,2,46,#ff6412,พรรคประชาชน
บุญเริ่ม อรชุน,4960,6,2026-02-07T16:49:11.214Z,6.08,3,9,#fe0000,พรรคเพื่อไทย
ปัญญา ชัยรัตนพานิช,2344,8,2026-02-07T16:49:13.129Z,2.87,4,11,#febd2f,พรรคเศรษฐกิจ
ดวงดารา นภาคเวช,1420,5,2026-02-07T16:49:09.633Z,1.74,5,27,#70c0fd,พรรคประชาธิปัตย์
ปัญจรัศม์ ภคภณธนวัจน์,931,3,2026-02-07T16:49:07.677Z,1.14,6,6,#243180,พรรครวมไทยสร้างชาติ
เอกธนัช เจริญรูป,753,9,2026-02-07T16:49:14.267Z,0.92,7,49,#f6ec4c,พรรคไทยก้าวใหม่
ศวิตา แสนสวาท,468,1,2026-02-07T16:49:04.214Z,0.57,8,35,#04685b,พรรครักชาติ
สิริกัญญา เสาะแสวง,397,2,2026-02-07T16:49:06.180Z,0.49,9,43,#096735,พรรคพลังประชารัฐ
