fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ธนาธาร ประมูลพงษ์,25552,5,2026-02-07T16:49:09.633Z,32.87,1,46,#ff6412,พรรคประชาชน
พนธกร ใคร่ครวญ,22072,2,2026-02-07T16:49:05.224Z,28.39,2,37,#131c5f,พรรคภูมิใจไทย
สะถิระ เผือกประพันธุ์,21865,7,2026-02-07T16:49:12.470Z,28.12,3,42,#44a26e,พรรคกล้าธรรม
อัครเศรษฐ รักษ์สกุลสงสัย,3173,3,2026-02-07T16:49:07.677Z,4.08,4,9,#fe0000,พรรคเพื่อไทย
พลเรือตรีนพดล บงกชกาญจน์,1745,9,2026-02-07T16:49:14.267Z,2.24,5,27,#70c0fd,พรรคประชาธิปัตย์
ภานุวัฒน์ ผาสุข,1250,10,2026-02-07T16:49:14.535Z,1.61,6,11,#febd2f,พรรคเศรษฐกิจ
ภาณุวิชญ์ อิสลาม,1054,6,2026-02-07T16:49:10.889Z,1.36,7,6,#243180,พรรครวมไทยสร้างชาติ
ศศิมาภรณ์ ชมไพร,399,8,2026-02-07T16:49:13.129Z,0.51,8,48,#7c26df,พรรคไทยสร้างไทย
โอฬาร์ ปัญญปิติพัฒน,321,1,2026-02-07T16:49:04.214Z,0.41,9,43,#096735,พรรคพลังประชารัฐ
ธนะพัฒน์ มธุรส,312,4,2026-02-07T16:49:09.325Z,0.4,10,23,#293f8b,พรรคปวงชนไทย
