fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ผกามาศ เจริญพันธ์,44112,4,2026-02-07T16:49:08.685Z,62.9,1,37,#131c5f,พรรคภูมิใจไทย
กันตภณ มิตรปราสาท,13062,1,2026-02-07T16:49:04.719Z,18.62,2,46,#ff6412,พรรคประชาชน
คุณากร ปรีชาชนะชัย,9328,7,2026-02-07T16:49:12.470Z,13.3,3,9,#fe0000,พรรคเพื่อไทย
กวิน เตียวเจริญโสภา,933,3,2026-02-07T16:49:07.677Z,1.33,4,43,#096735,พรรคพลังประชารัฐ
กานดาพร พิเลิศ,891,9,2026-02-07T16:49:13.708Z,1.27,5,23,#293f8b,พรรคปวงชนไทย
ไพรยวน พันธ์สีดา,876,2,2026-02-07T16:49:05.224Z,1.25,6,11,#febd2f,พรรคเศรษฐกิจ
สุริยะ บัวบาน,363,5,2026-02-07T16:49:09.941Z,0.52,7,27,#70c0fd,พรรคประชาธิปัตย์
ทันสมัย สุขบรรเทิง,289,8,2026-02-07T16:49:13.708Z,0.41,8,6,#243180,พรรครวมไทยสร้างชาติ
เกียรติภูมิ กำลังหาญ,281,6,2026-02-07T16:49:11.214Z,0.4,9,42,#44a26e,พรรคกล้าธรรม
