fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ไตรเทพ งามกมล,49860,5,2026-02-07T16:49:09.633Z,67.93,1,37,#131c5f,พรรคภูมิใจไทย
เพชร สุพพัตกุล,14410,1,2026-02-07T16:49:03.079Z,19.63,2,46,#ff6412,พรรคประชาชน
วินัย จีนโน,4396,7,2026-02-07T16:49:12.175Z,5.99,3,9,#fe0000,พรรคเพื่อไทย
พัสกร หัสดิน,1243,4,2026-02-07T16:49:08.376Z,1.69,4,11,#febd2f,พรรคเศรษฐกิจ
บุญทรง ลึกลาภ,918,6,2026-02-07T16:49:11.851Z,1.25,5,27,#70c0fd,พรรคประชาธิปัตย์
ธนวันต์ ทองคำ,689,9,2026-02-07T16:49:14.267Z,0.94,6,31,#0641e7,พรรคประชากรไทย
ธนาศักดิ์ เฉลิมสิทธิวงศา,606,2,2026-02-07T16:49:06.598Z,0.83,7,6,#243180,พรรครวมไทยสร้างชาติ
สุรศักดิ์ เพชรสว่าง,556,8,2026-02-07T16:49:13.442Z,0.76,8,42,#44a26e,พรรคกล้าธรรม
บุญเฮียง ชัยสิทธิ์,456,3,2026-02-07T16:49:08.063Z,0.62,9,23,#293f8b,พรรคปวงชนไทย
สุระ แก้วอนันต์,261,10,2026-02-07T16:49:14.535Z,0.36,10,8,#ee5e17,พรรคประชาธิปไตยใหม่
