fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชรัตน์ เนรัญชร,30286,3,2026-02-07T16:49:07.677Z,34.78,1,37,#131c5f,พรรคภูมิใจไทย
พราหมณ์ มุกดาสนิท,25697,6,2026-02-07T16:49:11.538Z,29.51,2,43,#096735,พรรคพลังประชารัฐ
ไพโรจน์ บัวเผื่อน,19604,1,2026-02-07T16:49:03.079Z,22.51,3,46,#ff6412,พรรคประชาชน
เกรียงเดช เข็มทอง,3944,7,2026-02-07T16:49:12.802Z,4.53,4,9,#fe0000,พรรคเพื่อไทย
แสนคมณ์มินทร์ อนามพงษ์,2801,5,2026-02-07T16:49:09.941Z,3.22,5,42,#44a26e,พรรคกล้าธรรม
กฤตนัน เย็นสำราญ,2763,4,2026-02-07T16:49:08.685Z,3.17,6,27,#70c0fd,พรรคประชาธิปัตย์
อดุลย์ ศรีภูมิสวัสดิ์,944,9,2026-02-07T16:49:14.267Z,1.08,7,35,#04685b,พรรครักชาติ
พชรดนัย ใจเที่ยง,815,2,2026-02-07T16:49:06.180Z,0.94,8,49,#f6ec4c,พรรคไทยก้าวใหม่
ธัญกาญจน์ อัครเดชเดชา,235,8,2026-02-07T16:49:13.442Z,0.27,9,23,#293f8b,พรรคปวงชนไทย
