fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พาณุวัฒณ์ สะสมทรัพย์,46059,6,2026-02-07T16:49:11.538Z,56.78,1,37,#131c5f,พรรคภูมิใจไทย
วันชนะ วงษ์พรพันธุ์,21777,4,2026-02-07T16:49:08.685Z,26.85,2,46,#ff6412,พรรคประชาชน
ทรงพล ชูศิลป์กุล,6415,1,2026-02-07T16:49:03.607Z,7.91,3,9,#fe0000,พรรคเพื่อไทย
อาทิตย์ ว่องวสุสมวงศ์,2342,2,2026-02-07T16:49:05.224Z,2.89,4,27,#70c0fd,พรรคประชาธิปัตย์
วัยวัฒน์ อินทร์ณรงค์,1309,3,2026-02-07T16:49:06.995Z,1.61,5,7,#0ac107,พรรคพลวัต
ปกร มหาโยธา,1176,8,2026-02-07T16:49:13.708Z,1.45,6,11,#febd2f,พรรคเศรษฐกิจ
ฐิตารีย์ ภรณ์ปรียากูล,737,7,2026-02-07T16:49:12.175Z,0.91,7,44,#f3717b,พรรคโอกาสใหม่
อัษฎาวุธ จิตตคุตตานนท์,657,5,2026-02-07T16:49:10.564Z,0.81,8,42,#44a26e,พรรคกล้าธรรม
สาโรช เบญจาสินสวัสดิ์,642,9,2026-02-07T16:49:14.267Z,0.79,9,57,#66ca32,พรรคพลังไทยรักชาติ
