id,name,provinceId,number,provinceName,parties,provinceId_key
d07a2532-9457-479c-ada3-db699649f54e,กรุงเทพมหานคร เขต 13,10,13,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 40040, 'percent': 48.22992327057661}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 16144, 'percent': 19.446150881123597}]",10
83dca6ad-0d61-4742-b8da-5a595e5c0394,กรุงเทพมหานคร เขต 14,10,14,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 39743, 'percent': 46.362660693870886}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 17491, 'percent': 20.404330276941742}]",10
5ee15043-a360-42ab-902d-9c0f22a65c77,กรุงเทพมหานคร เขต 15,10,15,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 38643, 'percent': 45.73514965736807}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 15597, 'percent': 18.4595173564674}]",10
e04003f3-6f13-4f8b-8745-d92b43984b22,กรุงเทพมหานคร เขต 16,10,16,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 44383, 'percent': 50.60717665705066}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 15146, 'percent': 17.27004253087194}]",10
bb361f6e-ad1a-47e0-af42-768d326a7f27,กรุงเทพมหานคร เขต 17,10,17,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 29705, 'percent': 42.29734155405887}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 12632, 'percent': 17.98687152031212}]",10
d9044d9a-b4d8-4a71-ba03-a7071ca50b12,กรุงเทพมหานคร เขต 18,10,18,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 32917, 'percent': 44.13472238982074}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 11988, 'percent': 16.073367925666705}]",10
eba3c40b-3ca9-40a3-8072-6d60c9272c24,กรุงเทพมหานคร เขต 19,10,19,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 40246, 'percent': 46.65445608828712}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 16764, 'percent': 19.43336733747566}]",10
26b7c7de-d15f-4267-af13-836c1f979780,กรุงเทพมหานคร เขต 20,10,20,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 35327, 'percent': 47.246295404696944}, {'code': '9', 'name': 'พรรคเพื่อไทย', 'party': {'code': '9', 'name': 'พรรคเพื่อไทย', 'color': '#fe0000'}, 'totalVotes': 11771, 'percent': 15.74252393944257}]",10
68df51b8-6ca9-48c3-ba35-3eacea8c50cb,กรุงเทพมหานคร เขต 21,10,21,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 41951, 'percent': 49.624424808072206}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 14498, 'percent': 17.149887031713924}]",10
fd576bb8-0b6a-4b2d-a712-be0f80898dc7,กรุงเทพมหานคร เขต 22,10,22,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 40358, 'percent': 48.29765081796532}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 16861, 'percent': 20.178073503189285}]",10
09bc1281-8de3-426c-845e-8d77b6bf51c6,กรุงเทพมหานคร เขต 23,10,23,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 42830, 'percent': 49.091075808633065}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 17497, 'percent': 20.054787612039522}]",10
fe45d811-7fc4-497f-b3a3-007b0024d036,กรุงเทพมหานคร เขต 24,10,24,กรุงเทพมหานคร,"[{'code': '46', 'name': 'พรรคประชาชน', 'party': {'code': '46', 'name': 'พรรคประชาชน', 'color': '#ff6412'}, 'totalVotes': 43108, 'percent': 49.50276750648814}, {'code': '37', 'name': 'พรรคภูมิใจไทย', 'party': {'code': '37', 'name': 'พรรคภูมิใจไทย', 'color': '#131c5f'}, 'totalVotes': 16191, 'percent': 18.59282055993202}]",10
