fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
นรพล ตันติมนตรี,32218,4,2026-02-07T16:49:09.325Z,41.44,1,42,#44a26e,พรรคกล้าธรรม
ศรีโสภา โกฏคำลือ,29980,1,2026-02-07T16:49:03.079Z,38.56,2,9,#fe0000,พรรคเพื่อไทย
อิทธิธัญกร ตาคำ,12635,6,2026-02-07T16:49:10.889Z,16.25,3,46,#ff6412,พรรคประชาชน
สุนทร มาลีการุณกิจ,1239,2,2026-02-07T16:49:05.224Z,1.59,4,37,#131c5f,พรรคภูมิใจไทย
ชาตรี หล้าพระบาง,921,3,2026-02-07T16:49:08.063Z,1.18,5,27,#70c0fd,พรรคประชาธิปัตย์
ธวัชชัย แสงสว่าง,753,5,2026-02-07T16:49:09.633Z,0.97,6,43,#096735,พรรคพลังประชารัฐ
