fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
กฤตย์อิชย์ ภาคย์อิชณน์,42376,5,2026-02-07T16:49:10.255Z,54.25,1,27,#70c0fd,พรรคประชาธิปัตย์
สุณัฐชา โล่สถาพรพิพิธ,26574,2,2026-02-07T16:49:05.703Z,34.02,2,37,#131c5f,พรรคภูมิใจไทย
วีรพล เต็งรัง,6583,3,2026-02-07T16:49:06.995Z,8.43,3,46,#ff6412,พรรคประชาชน
ศักดิ์ดาธร พุฒนวล,1109,1,2026-02-07T16:49:03.607Z,1.42,4,42,#44a26e,พรรคกล้าธรรม
ทวี จันทร์ฝาก,721,4,2026-02-07T16:49:09.009Z,0.92,5,9,#fe0000,พรรคเพื่อไทย
อำนวย นวลทอง,474,6,2026-02-07T16:49:11.214Z,0.61,6,6,#243180,พรรครวมไทยสร้างชาติ
ชัยยุทธ รองเดช,282,7,2026-02-07T16:49:12.175Z,0.36,7,30,#66398e,พรรคแรงงานสร้างชาติ
