fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สิริพงศ์ อังคสกุลเกียรติ,44088,5,2026-02-07T16:49:09.633Z,56.02,1,37,#131c5f,พรรคภูมิใจไทย
ธเนศ เครือรัตน์,21119,3,2026-02-07T16:49:07.677Z,26.83,2,9,#fe0000,พรรคเพื่อไทย
สุขเกษม เรืองนุช,11323,1,2026-02-07T16:49:04.214Z,14.39,3,46,#ff6412,พรรคประชาชน
ฉวี ปิ่นหอม,732,9,2026-02-07T16:49:13.980Z,0.93,4,23,#293f8b,พรรคปวงชนไทย
วีระชัย จันทร์ดวงศรี,384,4,2026-02-07T16:49:08.685Z,0.49,5,27,#70c0fd,พรรคประชาธิปัตย์
คณิศร คำโสภา,348,7,2026-02-07T16:49:11.851Z,0.44,6,11,#febd2f,พรรคเศรษฐกิจ
เนียม ผลบุญ,340,2,2026-02-07T16:49:05.703Z,0.43,7,8,#ee5e17,พรรคประชาธิปไตยใหม่
สุรเดช นาจำปา,195,6,2026-02-07T16:49:10.889Z,0.25,8,42,#44a26e,พรรคกล้าธรรม
กุลธวัช สาลี,175,8,2026-02-07T16:49:13.708Z,0.22,9,6,#243180,พรรครวมไทยสร้างชาติ
