fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
หทัยรัตน์ เพชรพนมพร,23226,1,2026-02-07T16:49:03.079Z,35.8,1,9,#fe0000,พรรคเพื่อไทย
พิชฎาภา อายุวัฒน์,18973,7,2026-02-07T16:49:12.470Z,29.24,2,37,#131c5f,พรรคภูมิใจไทย
ธนากร จำปาหอม,16497,6,2026-02-07T16:49:10.889Z,25.43,3,46,#ff6412,พรรคประชาชน
ชัยยงค์ ถียัง,1760,9,2026-02-07T16:49:14.267Z,2.71,4,8,#ee5e17,พรรคประชาธิปไตยใหม่
กฤตภาส จึงเติบโต,1297,5,2026-02-07T16:49:09.941Z,2.0,5,11,#febd2f,พรรคเศรษฐกิจ
พลตรีพิทักษ์ชัย ธนพรานสิงห์,1255,2,2026-02-07T16:49:06.598Z,1.93,6,42,#44a26e,พรรคกล้าธรรม
เรือตรีศุภเศรษฐ์ ศรีชัยรุ่งโรจน์,735,3,2026-02-07T16:49:07.314Z,1.13,7,6,#243180,พรรครวมไทยสร้างชาติ
ชัยกาล กันตรง,719,4,2026-02-07T16:49:08.376Z,1.11,8,27,#70c0fd,พรรคประชาธิปัตย์
อนันต์ ศรีพันธุ์,311,8,2026-02-07T16:49:13.442Z,0.48,9,43,#096735,พรรคพลังประชารัฐ
เยาวลักษณ์ คำศรี,105,10,2026-02-07T16:49:14.535Z,0.16,10,31,#0641e7,พรรคประชากรไทย
