fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
นรเสฎฐ์ ศิริโรจนกุล,44512,3,2026-02-07T16:49:07.677Z,56.85,1,9,#fe0000,พรรคเพื่อไทย
จิรภัทร พันธ์เกษม,15296,7,2026-02-07T16:49:12.470Z,19.53,2,37,#131c5f,พรรคภูมิใจไทย
ชรินทร์ ทำดี,13923,2,2026-02-07T16:49:05.224Z,17.78,3,46,#ff6412,พรรคประชาชน
สมปอง เกตุดอน,1347,5,2026-02-07T16:49:10.564Z,1.72,4,11,#febd2f,พรรคเศรษฐกิจ
ภาณุ ยนต์สุข,1165,6,2026-02-07T16:49:11.851Z,1.49,5,44,#f3717b,พรรคโอกาสใหม่
พิบูลย์รัฐ ศรีจันทร์อ่อน,1082,1,2026-02-07T16:49:04.719Z,1.38,6,27,#70c0fd,พรรคประชาธิปัตย์
กาญจนา เปรมภิรักษา,732,4,2026-02-07T16:49:08.376Z,0.93,7,42,#44a26e,พรรคกล้าธรรม
บัณทัต ฤทธิบุตร,245,8,2026-02-07T16:49:13.708Z,0.31,8,35,#04685b,พรรครักชาติ
