fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ตวงทิพย์ จินตะเวช,54260,3,2026-02-07T16:49:06.995Z,72.53,1,37,#131c5f,พรรคภูมิใจไทย
ธีรศักดิ์ วีระจินตวงศ์,11256,6,2026-02-07T16:49:11.851Z,15.05,2,46,#ff6412,พรรคประชาชน
อุบล สิมมา,4267,4,2026-02-07T16:49:08.376Z,5.7,3,9,#fe0000,พรรคเพื่อไทย
สุริยา ขันอาสา,2591,7,2026-02-07T16:49:11.851Z,3.46,4,48,#7c26df,พรรคไทยสร้างไทย
เรืองศรี ตรีราช,990,1,2026-02-07T16:49:04.719Z,1.32,5,6,#243180,พรรครวมไทยสร้างชาติ
อำไพ เฉลิมสุข,733,2,2026-02-07T16:49:06.180Z,0.98,6,27,#70c0fd,พรรคประชาธิปัตย์
สมมาตร มะลิลา,716,5,2026-02-07T16:49:10.255Z,0.96,7,42,#44a26e,พรรคกล้าธรรม
