fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
อามินทร์ มะยูโซ๊ะ,40265,2,2026-02-07T16:49:06.598Z,61.46,1,42,#44a26e,พรรคกล้าธรรม
มูฮัมหมัดรุสดี เชคฮารูณ,10259,6,2026-02-07T16:49:11.538Z,15.66,2,33,#ba810e,พรรคประชาชาติ
ฮัมรัน เทพลักษณ์,7982,3,2026-02-07T16:49:07.314Z,12.18,3,46,#ff6412,พรรคประชาชน
ชัยวัฒน์ จันทรการ,2855,4,2026-02-07T16:49:08.685Z,4.36,4,27,#70c0fd,พรรคประชาธิปัตย์
สุคนธ์ทิพย์ ศรีสุวรรณ์,1498,1,2026-02-07T16:49:04.214Z,2.29,5,9,#fe0000,พรรคเพื่อไทย
มูฮำหมัด มามะ,1289,7,2026-02-07T16:49:12.175Z,1.97,6,37,#131c5f,พรรคภูมิใจไทย
เจ๊ะซู ตาเหย็บ,1021,5,2026-02-07T16:49:10.255Z,1.56,7,43,#096735,พรรคพลังประชารัฐ
อุสมาน ดาโอะ,347,8,2026-02-07T16:49:13.129Z,0.53,8,7,#0ac107,พรรคพลวัต
