fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
กานสินี โอภาสรังสรรค์,26079,3,2026-02-07T16:49:08.063Z,36.37,1,37,#131c5f,พรรคภูมิใจไทย
รัฐภัทร์ พัฒนาศิริรักษ์,21962,1,2026-02-07T16:49:04.719Z,30.63,2,46,#ff6412,พรรคประชาชน
วัชระ เพชรทอง,17208,4,2026-02-07T16:49:09.009Z,24.0,3,27,#70c0fd,พรรคประชาธิปัตย์
เธียรทัศน์ เอี่ยมตระกูล,3267,5,2026-02-07T16:49:09.633Z,4.56,4,43,#096735,พรรคพลังประชารัฐ
กฤตภาส พรหมมากรณ์,874,2,2026-02-07T16:49:06.180Z,1.22,5,9,#fe0000,พรรคเพื่อไทย
ศิธา วงศ์วรพรรณ,821,9,2026-02-07T16:49:14.267Z,1.14,6,11,#febd2f,พรรคเศรษฐกิจ
ชาติพงศ์ กุลรัตน์,767,7,2026-02-07T16:49:12.802Z,1.07,7,6,#243180,พรรครวมไทยสร้างชาติ
นุกูล พูลสวัสดิ์,537,6,2026-02-07T16:49:11.538Z,0.75,8,49,#f6ec4c,พรรคไทยก้าวใหม่
วัชระ ไชยชำนิ,193,8,2026-02-07T16:49:13.708Z,0.27,9,10,#006aee,พรรคทางเลือกใหม่
