fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชิตพล ไตรสรณกุล,38705,4,2026-02-07T16:49:09.009Z,57.09,1,37,#131c5f,พรรคภูมิใจไทย
ภูมินทร์ ลีธีระประเสริฐ,18545,2,2026-02-07T16:49:06.180Z,27.36,2,42,#44a26e,พรรคกล้าธรรม
วัลลภ วันทมาตย์,5594,5,2026-02-07T16:49:09.633Z,8.25,3,46,#ff6412,พรรคประชาชน
พิชิตา บุญมา,2961,1,2026-02-07T16:49:04.214Z,4.37,4,9,#fe0000,พรรคเพื่อไทย
อนุบาล ขันทอง,832,7,2026-02-07T16:49:12.802Z,1.23,5,11,#febd2f,พรรคเศรษฐกิจ
กิติศักดิ์ พ้นภัย,452,3,2026-02-07T16:49:07.314Z,0.67,6,6,#243180,พรรครวมไทยสร้างชาติ
สายัณห์ หล้าบุดดา,324,9,2026-02-07T16:49:14.267Z,0.48,7,31,#0641e7,พรรคประชากรไทย
ปิยะนันท์ มั่นยืนยาว,218,6,2026-02-07T16:49:11.214Z,0.32,8,27,#70c0fd,พรรคประชาธิปัตย์
อุทัย อุทธาธรณ์,84,10,2026-02-07T16:49:14.535Z,0.12,9,43,#096735,พรรคพลังประชารัฐ
วาสิทธิ์ พวงสวัสดิ์,77,8,2026-02-07T16:49:13.708Z,0.11,10,23,#293f8b,พรรคปวงชนไทย
