fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วรท เทอดวีระพงศ์,55709,1,2026-02-07T16:49:03.079Z,50.14,1,37,#131c5f,พรรคภูมิใจไทย
นิติศักดิ์ ธรรมเพชร,34079,7,2026-02-07T16:49:12.802Z,30.67,2,9,#fe0000,พรรคเพื่อไทย
ภพเอกอัคร อินทรโม,11239,5,2026-02-07T16:49:09.633Z,10.11,3,27,#70c0fd,พรรคประชาธิปัตย์
ศุภกร ขุนชิต,8406,2,2026-02-07T16:49:05.224Z,7.57,4,46,#ff6412,พรรคประชาชน
พงศ์พสิษฐ์ ทองด้วง,950,3,2026-02-07T16:49:06.995Z,0.85,5,42,#44a26e,พรรคกล้าธรรม
อธิคม ขุนแก้ว,448,4,2026-02-07T16:49:08.685Z,0.4,6,49,#f6ec4c,พรรคไทยก้าวใหม่
สมเสริม ชูรักษ์,285,6,2026-02-07T16:49:11.214Z,0.26,7,7,#0ac107,พรรคพลวัต
