fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
กมนทรรศน์ กิตติสุนทรสกุล,33569,1,2026-02-07T16:49:03.607Z,42.31,1,46,#ff6412,พรรคประชาชน
กฤษฎา เอกกำลังกุล,26002,5,2026-02-07T16:49:09.633Z,32.78,2,37,#131c5f,พรรคภูมิใจไทย
ไพศาล เรืองฤทธิ์,14653,4,2026-02-07T16:49:09.325Z,18.47,3,27,#70c0fd,พรรคประชาธิปัตย์
รัฐชานนท์ คาดหมายดี,2699,3,2026-02-07T16:49:07.677Z,3.4,4,9,#fe0000,พรรคเพื่อไทย
ฉัตรชัย เล็กบุญแถม,1026,6,2026-02-07T16:49:11.851Z,1.29,5,6,#243180,พรรครวมไทยสร้างชาติ
รฎาศิริ ศิริคช,601,2,2026-02-07T16:49:06.598Z,0.76,6,43,#096735,พรรคพลังประชารัฐ
พรทวี พูลกลาง,394,8,2026-02-07T16:49:13.442Z,0.5,7,49,#f6ec4c,พรรคไทยก้าวใหม่
พฤกษา พฤกษานิตย์,388,7,2026-02-07T16:49:11.851Z,0.49,8,48,#7c26df,พรรคไทยสร้างไทย
