fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ประสาท ตันประเสริฐ,33389,2,2026-02-07T16:49:06.180Z,44.11,1,37,#131c5f,พรรคภูมิใจไทย
นิโรธ สุนทรเลขา,29956,5,2026-02-07T16:49:09.941Z,39.58,2,42,#44a26e,พรรคกล้าธรรม
สพลเชษฐ์ ก้อนจันทร์เทศ,8486,1,2026-02-07T16:49:04.214Z,11.21,3,46,#ff6412,พรรคประชาชน
ชุติมา เสรีรัฐ,2470,3,2026-02-07T16:49:06.995Z,3.26,4,9,#fe0000,พรรคเพื่อไทย
สิริรักษ์ บัณฑิตศิละศักดิ์,770,4,2026-02-07T16:49:09.325Z,1.02,5,27,#70c0fd,พรรคประชาธิปัตย์
เตือนใจ หงษ์เวียงจันทร์,470,6,2026-02-07T16:49:11.214Z,0.62,6,11,#febd2f,พรรคเศรษฐกิจ
สุริวัสสา เพชรสวัสดิ์,90,7,2026-02-07T16:49:12.175Z,0.12,7,8,#ee5e17,พรรคประชาธิปไตยใหม่
สนองเดช เดชวัชรนนท์,56,8,2026-02-07T16:49:13.129Z,0.07,8,43,#096735,พรรคพลังประชารัฐ
