fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พงษ์ศักดิ์ จ่าแก้ว,38674,6,2026-02-07T16:49:11.538Z,44.33,1,42,#44a26e,พรรคกล้าธรรม
ธานินท์ นวลวัฒน์,27876,2,2026-02-07T16:49:05.224Z,31.96,2,37,#131c5f,พรรคภูมิใจไทย
ฐิติมา รักษ์จินดา,9798,4,2026-02-07T16:49:09.009Z,11.23,3,27,#70c0fd,พรรคประชาธิปัตย์
วัชระพงศ์ ฉิมแก้ว,9051,1,2026-02-07T16:49:03.607Z,10.38,4,46,#ff6412,พรรคประชาชน
สันติ พุทธศรี,701,3,2026-02-07T16:49:08.063Z,0.8,5,6,#243180,พรรครวมไทยสร้างชาติ
มาโนช เพ็ชรชู,667,7,2026-02-07T16:49:12.802Z,0.76,6,49,#f6ec4c,พรรคไทยก้าวใหม่
วศุธน เรืองขนาบ,465,5,2026-02-07T16:49:10.255Z,0.53,7,9,#fe0000,พรรคเพื่อไทย
