fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
อรรถกร ศิริลัทธยากร,48727,4,2026-02-07T16:49:08.376Z,46.11,1,42,#44a26e,พรรคกล้าธรรม
พันธุ์พงศ์ อัศวชัยโสภณ,30804,3,2026-02-07T16:49:06.995Z,29.15,2,9,#fe0000,พรรคเพื่อไทย
ศุกติชา ตันเจริญ,19493,5,2026-02-07T16:49:09.633Z,18.45,3,46,#ff6412,พรรคประชาชน
ณัฐกร เหลืองสุขเจริญ,2938,2,2026-02-07T16:49:06.598Z,2.78,4,37,#131c5f,พรรคภูมิใจไทย
อภินันท์ภรณ์ ใต้หล้าสถาพร,2726,6,2026-02-07T16:49:10.889Z,2.58,5,27,#70c0fd,พรรคประชาธิปัตย์
ชาลี เจริญสุข,981,1,2026-02-07T16:49:03.079Z,0.93,6,23,#293f8b,พรรคปวงชนไทย
