fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ชัชพีร์ วรรณาพิรัชย์,46583,3,2026-02-07T16:49:07.677Z,41.92,1,46,#ff6412,พรรคประชาชน
รังสรรค์ มณีรัตน์,33089,6,2026-02-07T16:49:11.214Z,29.78,2,9,#fe0000,พรรคเพื่อไทย
ศิรศักดิ์ ทองยอด,10698,1,2026-02-07T16:49:04.719Z,9.63,3,37,#131c5f,พรรคภูมิใจไทย
ชนิสรา ขว้างทา,6007,7,2026-02-07T16:49:12.175Z,5.41,4,27,#70c0fd,พรรคประชาธิปัตย์
นาวาเอกณัฐพงศ์ คชเสนี,4931,4,2026-02-07T16:49:09.325Z,4.44,5,11,#febd2f,พรรคเศรษฐกิจ
อภิชาติ เนตรผาบ,2750,8,2026-02-07T16:49:13.708Z,2.47,6,6,#243180,พรรครวมไทยสร้างชาติ
ประเสริฐ เอวจักร,2732,2,2026-02-07T16:49:06.598Z,2.46,7,42,#44a26e,พรรคกล้าธรรม
ชินชัย แก้วเรือน,2573,9,2026-02-07T16:49:13.980Z,2.32,8,43,#096735,พรรคพลังประชารัฐ
อดิศร แก้วเล็ก,1490,5,2026-02-07T16:49:10.564Z,1.34,9,44,#f3717b,พรรคโอกาสใหม่
ณัฐวิน โฉมศรี,271,10,2026-02-07T16:49:14.535Z,0.24,10,24,#f80406,พรรควิชชั่นใหม่
