fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ตรีนุช เทียนทอง,56364,6,2026-02-07T16:49:10.889Z,70.36,1,43,#096735,พรรคพลังประชารัฐ
ยุทธชัย รำไพวรรณ์,13788,5,2026-02-07T16:49:09.941Z,17.21,2,46,#ff6412,พรรคประชาชน
ศิริพงศ์ ทวีวงศ์,3010,9,2026-02-07T16:49:13.980Z,3.76,3,11,#febd2f,พรรคเศรษฐกิจ
ยุทธพงศ์ ตัณฑิกุล,2520,2,2026-02-07T16:49:06.180Z,3.15,4,9,#fe0000,พรรคเพื่อไทย
อัคลีมา คลังเพชร,1600,1,2026-02-07T16:49:04.719Z,2.0,5,27,#70c0fd,พรรคประชาธิปัตย์
ยงยุทธ คมคาย,1480,7,2026-02-07T16:49:12.470Z,1.85,6,37,#131c5f,พรรคภูมิใจไทย
เกียรติศักดิ์ สุดแดน,540,3,2026-02-07T16:49:07.677Z,0.67,7,49,#f6ec4c,พรรคไทยก้าวใหม่
ศิราณี หมื่นจิตร,433,4,2026-02-07T16:49:08.376Z,0.54,8,42,#44a26e,พรรคกล้าธรรม
กิติชา วงษ์มั่น,374,8,2026-02-07T16:49:13.442Z,0.47,9,8,#ee5e17,พรรคประชาธิปไตยใหม่
