fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สมชิด กันธะยา,34191,9,2026-02-07T16:49:13.980Z,41.45,1,46,#ff6412,พรรคประชาชน
อัจฉรารัตน์ นันทะเสน,30329,1,2026-02-07T16:49:03.079Z,36.77,2,9,#fe0000,พรรคเพื่อไทย
วาสนา ทองสุข,8902,6,2026-02-07T16:49:10.889Z,10.79,3,37,#131c5f,พรรคภูมิใจไทย
สุรเวศม์ รินแก้ว,1918,7,2026-02-07T16:49:11.851Z,2.33,4,27,#70c0fd,พรรคประชาธิปัตย์
กฤศอนันต์ วัฒนะ,1866,4,2026-02-07T16:49:08.376Z,2.26,5,44,#f3717b,พรรคโอกาสใหม่
ธนภูมิ วงศ์บุณยกรชัย,1407,5,2026-02-07T16:49:10.564Z,1.71,6,42,#44a26e,พรรคกล้าธรรม
ปรีชาพล รัตนมณี,1175,3,2026-02-07T16:49:07.677Z,1.42,7,11,#febd2f,พรรคเศรษฐกิจ
วิทยา สิงห์มณี,784,8,2026-02-07T16:49:13.442Z,0.95,8,6,#243180,พรรครวมไทยสร้างชาติ
ณัฐสุรางค์ กิตติภัทเมธา,768,2,2026-02-07T16:49:06.180Z,0.93,9,24,#f80406,พรรควิชชั่นใหม่
ฉัฐฐ์คณากร ภักดี,640,11,2026-02-07T16:49:14.795Z,0.78,10,31,#0641e7,พรรคประชากรไทย
อรณิช ชัยขัน,279,12,2026-02-07T16:49:14.795Z,0.34,11,56,#2df928,พรรคเพื่อบ้านเมือง
จินตนา ไชยชมภู,228,10,2026-02-07T16:49:14.535Z,0.28,12,22,#6a59a7,พรรคก้าวอิสระ
