fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ณัฏฐ์ชนน ศรีก่อเกื้อ,34425,2,2026-02-07T16:49:05.224Z,38.91,1,37,#131c5f,พรรคภูมิใจไทย
เพ็ชร อุ่นแดง,24743,3,2026-02-07T16:49:07.677Z,27.96,2,42,#44a26e,พรรคกล้าธรรม
ศิริโชค โสภา,18099,4,2026-02-07T16:49:08.376Z,20.45,3,27,#70c0fd,พรรคประชาธิปัตย์
ดัยลามี เบ็ญบาเห็ม,7679,6,2026-02-07T16:49:11.538Z,8.68,4,46,#ff6412,พรรคประชาชน
ดุลยรัตน์ บูยูโส๊ะ,2571,1,2026-02-07T16:49:03.607Z,2.91,5,33,#ba810e,พรรคประชาชาติ
สนิท วัฒนสุข,401,7,2026-02-07T16:49:12.175Z,0.45,6,6,#243180,พรรครวมไทยสร้างชาติ
สมาท สะอาดวารี,338,5,2026-02-07T16:49:09.941Z,0.38,7,9,#fe0000,พรรคเพื่อไทย
สมพงค์ ทองบริบูรณ์,228,8,2026-02-07T16:49:13.708Z,0.26,8,11,#febd2f,พรรคเศรษฐกิจ
