fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ศิริโรจน์ ธนิกกุล,28126,3,2026-02-07T16:49:08.063Z,40.34,1,46,#ff6412,พรรคประชาชน
บุญมี นิลถนอม,25118,4,2026-02-07T16:49:09.009Z,36.03,2,42,#44a26e,พรรคกล้าธรรม
ธนวัฒน์ ทองโต,6776,2,2026-02-07T16:49:05.224Z,9.72,3,37,#131c5f,พรรคภูมิใจไทย
พลภวัฒน์ ชำนาญวาด,5647,1,2026-02-07T16:49:04.719Z,8.1,4,9,#fe0000,พรรคเพื่อไทย
แพญาริณธ์ เจียอัครเตชานน,2651,6,2026-02-07T16:49:11.851Z,3.8,5,27,#70c0fd,พรรคประชาธิปัตย์
วีร์ธนากฤต โพธิ์สุวรรณ,1405,5,2026-02-07T16:49:10.564Z,2.02,6,11,#febd2f,พรรคเศรษฐกิจ
