fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
รวี เล็กอุทัย,38074,1,2026-02-07T16:49:04.214Z,57.01,1,9,#fe0000,พรรคเพื่อไทย
จิรายุ ดวงแก้ว,17027,2,2026-02-07T16:49:06.598Z,25.5,2,46,#ff6412,พรรคประชาชน
รสสุคนธ์ อินชัยเขา,6504,5,2026-02-07T16:49:10.255Z,9.74,3,37,#131c5f,พรรคภูมิใจไทย
อรกัญญา ดีมาก,2729,3,2026-02-07T16:49:08.063Z,4.09,4,27,#70c0fd,พรรคประชาธิปัตย์
เขษมศักดิ์ แก้วมา,1077,6,2026-02-07T16:49:11.851Z,1.61,5,6,#243180,พรรครวมไทยสร้างชาติ
คณิน ถนอมทองพันธ์,949,4,2026-02-07T16:49:08.376Z,1.42,6,42,#44a26e,พรรคกล้าธรรม
พงศ์วินิจ ไพจิตรกุญชร,419,7,2026-02-07T16:49:12.175Z,0.63,7,10,#006aee,พรรคทางเลือกใหม่
