fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สนอง เทพอักษรณรงค์,53235,5,2026-02-07T16:49:09.633Z,75.56,1,37,#131c5f,พรรคภูมิใจไทย
ธนายุทธ ยืนยั่ง,11436,3,2026-02-07T16:49:07.677Z,16.23,2,46,#ff6412,พรรคประชาชน
พีรภัทร ทองธีรสกุล,2889,2,2026-02-07T16:49:05.224Z,4.1,3,9,#fe0000,พรรคเพื่อไทย
ภาคภูมิ โภคทรัพย์,827,1,2026-02-07T16:49:04.719Z,1.17,4,27,#70c0fd,พรรคประชาธิปัตย์
อิทธิพัทธ์ ภักดีเนติพันธุ์,631,8,2026-02-07T16:49:13.708Z,0.9,5,11,#febd2f,พรรคเศรษฐกิจ
สุทธิลักษณ์ ยายิรัมย์,611,4,2026-02-07T16:49:08.685Z,0.87,6,6,#243180,พรรครวมไทยสร้างชาติ
นาท ฉัพพรรณธนกูร,417,7,2026-02-07T16:49:12.470Z,0.59,7,42,#44a26e,พรรคกล้าธรรม
วิเชียร ลานทอง,409,6,2026-02-07T16:49:11.214Z,0.58,8,31,#0641e7,พรรคประชากรไทย
