fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สาเหะมูหามัด อัลอิดรุส,32162,4,2026-02-07T16:49:08.685Z,49.0,1,37,#131c5f,พรรคภูมิใจไทย
บัณฑิต อับดุลบุตร,21989,3,2026-02-07T16:49:07.314Z,33.5,2,33,#ba810e,พรรคประชาชาติ
มูฮัมหมัดนาเซร์ สูหลง,6723,5,2026-02-07T16:49:09.633Z,10.24,3,46,#ff6412,พรรคประชาชน
สนิท นาแว,2809,6,2026-02-07T16:49:11.214Z,4.28,4,42,#44a26e,พรรคกล้าธรรม
มุกตา สาและ,1236,1,2026-02-07T16:49:03.607Z,1.88,5,27,#70c0fd,พรรคประชาธิปัตย์
มะอำรัม อีดูงอ,525,2,2026-02-07T16:49:06.180Z,0.8,6,9,#fe0000,พรรคเพื่อไทย
อูกูอัลฮาดีด อาแด,192,7,2026-02-07T16:49:12.175Z,0.29,7,43,#096735,พรรคพลังประชารัฐ
