fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
คงกฤช รามศักดิ์,47001,4,2026-02-07T16:49:08.376Z,48.95,1,37,#131c5f,พรรคภูมิใจไทย
เพ็ญศิริรักษ์ ปลื้มสุข,27851,2,2026-02-07T16:49:06.598Z,29.0,2,46,#ff6412,พรรคประชาชน
วีระชัย นาคมาศ,12310,3,2026-02-07T16:49:06.995Z,12.82,3,44,#f3717b,พรรคโอกาสใหม่
ณัฐณิชา บุรณศิริ,5146,1,2026-02-07T16:49:03.079Z,5.36,4,9,#fe0000,พรรคเพื่อไทย
สฤษดิ์ เอี่ยมศิริ,1361,7,2026-02-07T16:49:12.175Z,1.42,5,11,#febd2f,พรรคเศรษฐกิจ
ปวริศฐ์ ปิยศรีขจรศิริ,952,5,2026-02-07T16:49:10.255Z,0.99,6,6,#243180,พรรครวมไทยสร้างชาติ
เกรียงไกร จู้ทิ่น,884,8,2026-02-07T16:49:13.129Z,0.92,7,27,#70c0fd,พรรคประชาธิปัตย์
นพดล อมรเวช,523,6,2026-02-07T16:49:10.889Z,0.54,8,43,#096735,พรรคพลังประชารัฐ
