fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ณัฐวัชต์ พิมพะนิตย์,34051,4,2026-02-07T16:49:09.325Z,43.46,1,9,#fe0000,พรรคเพื่อไทย
ประภา เฮงไพบูลย์,24218,8,2026-02-07T16:49:13.129Z,30.91,2,43,#096735,พรรคพลังประชารัฐ
อภิยุทธ ณ กาฬสินธุ์,10334,2,2026-02-07T16:49:05.224Z,13.19,3,46,#ff6412,พรรคประชาชน
ชนินทร์ คะอังกุ,3569,9,2026-02-07T16:49:13.708Z,4.55,4,42,#44a26e,พรรคกล้าธรรม
วิรัตน์ ภูต้องใจ,3404,3,2026-02-07T16:49:08.063Z,4.34,5,37,#131c5f,พรรคภูมิใจไทย
ทองพูล พลพุทธา,732,7,2026-02-07T16:49:12.802Z,0.93,6,11,#febd2f,พรรคเศรษฐกิจ
สุระชัย ไชยทองศรี,585,1,2026-02-07T16:49:03.079Z,0.75,7,6,#243180,พรรครวมไทยสร้างชาติ
วิศรุต พัฒนชัย,519,6,2026-02-07T16:49:11.851Z,0.66,8,10,#006aee,พรรคทางเลือกใหม่
ธีรัตม์ ด้วยโชติ,412,11,2026-02-07T16:49:14.795Z,0.53,9,8,#ee5e17,พรรคประชาธิปไตยใหม่
ชอบเรียน วงศ์ศิริ,284,5,2026-02-07T16:49:09.633Z,0.36,10,27,#70c0fd,พรรคประชาธิปัตย์
ชูถิ่น จำเริญเจือ,156,10,2026-02-07T16:49:14.535Z,0.2,11,31,#0641e7,พรรคประชากรไทย
วาสนา แสนบุญศิริ,90,12,2026-02-07T16:49:14.795Z,0.11,12,56,#2df928,พรรคเพื่อบ้านเมือง
