fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สุไลมาน บือแนปีแน,29562,3,2026-02-07T16:49:07.677Z,36.33,1,33,#ba810e,พรรคประชาชาติ
อาดิลัน อาลีอิสเฮาะ,19129,4,2026-02-07T16:49:08.685Z,23.51,2,42,#44a26e,พรรคกล้าธรรม
ประสิทธิ์ชัย พงษ์สุวรรณศิริ,14737,1,2026-02-07T16:49:04.719Z,18.11,3,37,#131c5f,พรรคภูมิใจไทย
อันวาร์ อุเซ็ง,11866,2,2026-02-07T16:49:05.703Z,14.58,4,46,#ff6412,พรรคประชาชน
อับดุลการิม เด็งระกีนา,4558,6,2026-02-07T16:49:11.538Z,5.6,5,27,#70c0fd,พรรคประชาธิปัตย์
สมภพ สุภนรานนท์,956,5,2026-02-07T16:49:09.941Z,1.17,6,49,#f6ec4c,พรรคไทยก้าวใหม่
กูนรดินทร์ วงศ์วังษา,383,7,2026-02-07T16:49:12.802Z,0.47,7,9,#fe0000,พรรคเพื่อไทย
อับดุลลาเตะ ยากัด,175,8,2026-02-07T16:49:13.442Z,0.22,8,43,#096735,พรรคพลังประชารัฐ
