fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วุฒากร นุตยกุล,38190,8,2026-02-07T16:49:13.129Z,44.35,1,46,#ff6412,พรรคประชาชน
กัญญาพร แก้วทิพย์,18285,1,2026-02-07T16:49:03.079Z,21.23,2,37,#131c5f,พรรคภูมิใจไทย
วิรัตน์ เกียรติสันติกุล,8975,4,2026-02-07T16:49:08.685Z,10.42,3,9,#fe0000,พรรคเพื่อไทย
ธีรวงศ์ สรรค์พิพัฒน์,8218,6,2026-02-07T16:49:10.889Z,9.54,4,42,#44a26e,พรรคกล้าธรรม
นันทิน พานิชกุล,6012,10,2026-02-07T16:49:14.535Z,6.98,5,27,#70c0fd,พรรคประชาธิปัตย์
สหภาพ พ่อค้าทอง,2030,5,2026-02-07T16:49:09.941Z,2.36,6,11,#febd2f,พรรคเศรษฐกิจ
ภาคย์ธณิศ นุชน้อย,1850,7,2026-02-07T16:49:12.470Z,2.15,7,6,#243180,พรรครวมไทยสร้างชาติ
ธนบดี อินทวีโร,1119,9,2026-02-07T16:49:14.267Z,1.3,8,12,#eac33b,พรรคเสรีรวมไทย
สุรพันธ์ ไวยากรณ์,713,3,2026-02-07T16:49:06.995Z,0.83,9,7,#0ac107,พรรคพลวัต
วิชยุตม์ รอดศิลป์,374,11,2026-02-07T16:49:14.795Z,0.43,10,20,#15603f,พรรคฟิวชัน
ศรราม ภูมิไชย,342,2,2026-02-07T16:49:06.598Z,0.4,11,43,#096735,พรรคพลังประชารัฐ
