fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ณัฐจิรา อิ่มวิเศษ,29438,4,2026-02-07T16:49:08.685Z,41.31,1,9,#fe0000,พรรคเพื่อไทย
ภาคภูมิ ประชญาภูมิวงศ์,22446,3,2026-02-07T16:49:07.314Z,31.5,2,46,#ff6412,พรรคประชาชน
รักชาติ กิริวัฒนศักดิ์,13001,5,2026-02-07T16:49:10.255Z,18.24,3,37,#131c5f,พรรคภูมิใจไทย
อมร แก้วสุข,1345,1,2026-02-07T16:49:04.719Z,1.89,4,6,#243180,พรรครวมไทยสร้างชาติ
ไผทเทพ ถาวรชาติ,1336,2,2026-02-07T16:49:05.224Z,1.87,5,27,#70c0fd,พรรคประชาธิปัตย์
โสภา พลดงนอก,1277,10,2026-02-07T16:49:14.535Z,1.79,6,11,#febd2f,พรรคเศรษฐกิจ
จีระศักดิ์ โอนสันเทียะ,1051,9,2026-02-07T16:49:14.267Z,1.47,7,49,#f6ec4c,พรรคไทยก้าวใหม่
อุทัย มิ่งขวัญ,619,6,2026-02-07T16:49:11.538Z,0.87,8,42,#44a26e,พรรคกล้าธรรม
เชิงชาย รัตน์พลแสนย์,603,7,2026-02-07T16:49:12.470Z,0.85,9,23,#293f8b,พรรคปวงชนไทย
เดชรักษา ทัพทวี,150,8,2026-02-07T16:49:13.442Z,0.21,10,36,#27c500,พรรคไทยพร้อม
