fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
วรโชติ สุคนธ์ขจร,44994,7,2026-02-07T16:49:12.175Z,71.09,1,37,#131c5f,พรรคภูมิใจไทย
พรหมธาดา วิเศษสิงห์,9439,1,2026-02-07T16:49:04.214Z,14.91,2,46,#ff6412,พรรคประชาชน
ทวีศักดิ์ อนรรฆพันธ์,5355,5,2026-02-07T16:49:09.941Z,8.46,3,9,#fe0000,พรรคเพื่อไทย
ธนภาค บุ้งจันทร์,970,9,2026-02-07T16:49:13.980Z,1.53,4,11,#febd2f,พรรคเศรษฐกิจ
ทองมา ทองอ่ำ,539,4,2026-02-07T16:49:09.325Z,0.85,5,44,#f3717b,พรรคโอกาสใหม่
ภาณุวัฒน์ หาญเชิงชัย,475,8,2026-02-07T16:49:13.442Z,0.75,6,27,#70c0fd,พรรคประชาธิปัตย์
โชคชัย มั่นเติม,462,6,2026-02-07T16:49:10.889Z,0.73,7,31,#0641e7,พรรคประชากรไทย
เกรียงศักดิ์ ศรีวงษ์ราช,389,11,2026-02-07T16:49:14.535Z,0.61,8,43,#096735,พรรคพลังประชารัฐ
ทวีศักดิ์ เชื้อบุญมี,308,3,2026-02-07T16:49:06.995Z,0.49,9,51,#fe0000,พรรคพร้อม
วิเชียร แดงม่วง,278,2,2026-02-07T16:49:05.703Z,0.44,10,42,#44a26e,พรรคกล้าธรรม
นัฐธันยพร ภวิตรารัตนศิริ,85,10,2026-02-07T16:49:14.535Z,0.13,11,23,#293f8b,พรรคปวงชนไทย
