fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ธนภัทร ตระกูลภูชัย,38628,8,2026-02-07T16:49:13.708Z,49.98,1,46,#ff6412,พรรคประชาชน
อธิวัฒน์ สอนเนย,9439,3,2026-02-07T16:49:08.063Z,12.21,2,9,#fe0000,พรรคเพื่อไทย
วรากร เครือทองศรี,8905,7,2026-02-07T16:49:12.470Z,11.52,3,37,#131c5f,พรรคภูมิใจไทย
พัชร์ชิสา พชิระธารีรัตน์,7995,4,2026-02-07T16:49:09.009Z,10.34,4,42,#44a26e,พรรคกล้าธรรม
เกียรติศักดิ์ คงเขียว,6295,6,2026-02-07T16:49:11.538Z,8.14,5,27,#70c0fd,พรรคประชาธิปัตย์
สรวีย์ ศุภปณิตา,2603,9,2026-02-07T16:49:14.267Z,3.37,6,11,#febd2f,พรรคเศรษฐกิจ
บุญเลิศ สงบจิตร์,1850,1,2026-02-07T16:49:03.079Z,2.39,7,6,#243180,พรรครวมไทยสร้างชาติ
วิภาวดี ชนะชัย,617,5,2026-02-07T16:49:09.941Z,0.8,8,49,#f6ec4c,พรรคไทยก้าวใหม่
ภรภัทร มานิตเมธากิจ,490,2,2026-02-07T16:49:06.598Z,0.63,9,43,#096735,พรรคพลังประชารัฐ
พลวัฒน์ จันทะเอ,467,10,2026-02-07T16:49:14.267Z,0.6,10,12,#eac33b,พรรคเสรีรวมไทย
