fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ศักดิ์สิทธิ์ ขาวทอง,46357,2,2026-02-07T16:49:06.598Z,49.17,1,27,#70c0fd,พรรคประชาธิปัตย์
พิทักษ์ พุทธวิโร,28040,3,2026-02-07T16:49:06.995Z,29.74,2,37,#131c5f,พรรคภูมิใจไทย
ธนทร แก้วอนุรักษ์,17735,1,2026-02-07T16:49:04.214Z,18.81,3,46,#ff6412,พรรคประชาชน
สงขลา พอกันที,807,7,2026-02-07T16:49:12.470Z,0.86,4,6,#243180,พรรครวมไทยสร้างชาติ
สนิท บุญราศรี,703,4,2026-02-07T16:49:09.009Z,0.75,5,9,#fe0000,พรรคเพื่อไทย
สุชาติ หลำเบ็นหมุด,629,5,2026-02-07T16:49:09.633Z,0.67,6,7,#0ac107,พรรคพลวัต
