fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ธนิก มาสีพิทักษ์,32333,3,2026-02-07T16:49:08.063Z,38.15,1,42,#44a26e,พรรคกล้าธรรม
วิภาณี ภูคำวงศ์,26379,6,2026-02-07T16:49:11.214Z,31.12,2,9,#fe0000,พรรคเพื่อไทย
ยอดเพชร อุดเมืองเพีย,17255,1,2026-02-07T16:49:03.607Z,20.36,3,46,#ff6412,พรรคประชาชน
ศิริพงษ์ อรุณเดชาชัย,3528,9,2026-02-07T16:49:13.708Z,4.16,4,37,#131c5f,พรรคภูมิใจไทย
ณิชวดี เลิศมหาลาภ,2032,4,2026-02-07T16:49:09.325Z,2.4,5,48,#7c26df,พรรคไทยสร้างไทย
สมใจ ทองบาง,1053,2,2026-02-07T16:49:05.224Z,1.24,6,27,#70c0fd,พรรคประชาธิปัตย์
สมบุญ ยะมุลณี,1034,7,2026-02-07T16:49:12.470Z,1.22,7,11,#febd2f,พรรคเศรษฐกิจ
อุทัย หานนท์,713,5,2026-02-07T16:49:10.564Z,0.84,8,6,#243180,พรรครวมไทยสร้างชาติ
เดชาวัต ศรีพุดฑา,426,8,2026-02-07T16:49:13.442Z,0.5,9,49,#f6ec4c,พรรคไทยก้าวใหม่
