id,name,provinceId,number,provinceName,referendums,provinceId_key
26b4aad6-94b3-490a-9390-71636d5e97a4,กรุงเทพมหานคร เขต 1,10,1,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 47947, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 26432, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3887, 'color': '#94a3b8'}]",10
a4b95b52-2371-4a3e-bc51-6b3381578720,กรุงเทพมหานคร เขต 2,10,2,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 50937, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 26114, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3913, 'color': '#94a3b8'}]",10
be7ff60c-305b-47b8-a8b6-dd699e5f5d6c,กรุงเทพมหานคร เขต 3,10,3,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 57511, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25777, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3964, 'color': '#94a3b8'}]",10
8d1c14af-dbec-46bd-ba6d-b605490e385a,กรุงเทพมหานคร เขต 4,10,4,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 46852, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 24062, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3706, 'color': '#94a3b8'}]",10
380c6e8c-51e2-4acc-8e3f-7772bdf18ae8,กรุงเทพมหานคร เขต 5,10,5,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 75322, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25811, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3896, 'color': '#94a3b8'}]",10
fb7c012b-dce0-4191-be1e-f705e8b7c408,กรุงเทพมหานคร เขต 6,10,6,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 67249, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 29424, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4343, 'color': '#94a3b8'}]",10
eae73f98-6db7-439a-9f0b-9dace8574145,กรุงเทพมหานคร เขต 7,10,7,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 52957, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25833, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4241, 'color': '#94a3b8'}]",10
110025c8-3940-482f-a4b2-98f8a2302032,กรุงเทพมหานคร เขต 8,10,8,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 60343, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 28951, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4043, 'color': '#94a3b8'}]",10
a4742465-b98a-47d1-9f9a-db27ef35ab1a,กรุงเทพมหานคร เขต 9,10,9,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 72424, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 28614, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4462, 'color': '#94a3b8'}]",10
3c89ca70-1bc3-4365-a18c-335b71384f97,กรุงเทพมหานคร เขต 10,10,10,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 59374, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25236, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5242, 'color': '#94a3b8'}]",10
9dcb7782-7a6e-400b-ae82-1a0a7b34dd95,กรุงเทพมหานคร เขต 11,10,11,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 66624, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25212, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5216, 'color': '#94a3b8'}]",10
f67966ec-3ed7-41df-95b7-6ebbbf305333,กรุงเทพมหานคร เขต 12,10,12,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 72374, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 27513, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4468, 'color': '#94a3b8'}]",10
d07a2532-9457-479c-ada3-db699649f54e,กรุงเทพมหานคร เขต 13,10,13,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 60621, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 25749, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3555, 'color': '#94a3b8'}]",10
83dca6ad-0d61-4742-b8da-5a595e5c0394,กรุงเทพมหานคร เขต 14,10,14,กรุงเทพมหานคร,"[{'title': 'เห็นชอบ', 'totalVote': 58331, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 27587, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 3889, 'color': '#94a3b8'}]",10
