fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
อรรถพล วงษ์ประยูร,34896,5,2026-02-07T16:49:10.255Z,38.55,1,37,#131c5f,พรรคภูมิใจไทย
สมบัติ อำนาคะ,26004,8,2026-02-07T16:49:13.442Z,28.72,2,9,#fe0000,พรรคเพื่อไทย
จิโรจ เวชชลานนท์,21654,4,2026-02-07T16:49:09.325Z,23.92,3,46,#ff6412,พรรคประชาชน
ศุภากรณ์ จันทาบุตร,3000,1,2026-02-07T16:49:04.214Z,3.31,4,49,#f6ec4c,พรรคไทยก้าวใหม่
กฤษณุชัย บุญทรัพย์ทวีชัย,1695,9,2026-02-07T16:49:13.980Z,1.87,5,11,#febd2f,พรรคเศรษฐกิจ
ทรงวุฒิ สารจันทึก,1582,2,2026-02-07T16:49:06.180Z,1.75,6,6,#243180,พรรครวมไทยสร้างชาติ
ธงชัย กอบเกื้อชัยพงษ์,953,3,2026-02-07T16:49:06.995Z,1.05,7,27,#70c0fd,พรรคประชาธิปัตย์
สุเทพ สีมาลา,748,7,2026-02-07T16:49:12.470Z,0.83,8,23,#293f8b,พรรคปวงชนไทย
