fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
สุรีย์ ธัมมาตร,40070,7,2026-02-07T16:49:12.802Z,58.55,1,37,#131c5f,พรรคภูมิใจไทย
พรเทพ พูนศรีธนากูล,13037,1,2026-02-07T16:49:04.214Z,19.05,2,9,#fe0000,พรรคเพื่อไทย
โพธิธวัช พัฒนาพงษ์ไชย,10241,9,2026-02-07T16:49:13.980Z,14.96,3,46,#ff6412,พรรคประชาชน
ชนมณี บุตรวงษ์,1545,3,2026-02-07T16:49:08.063Z,2.26,4,42,#44a26e,พรรคกล้าธรรม
ปุณยวัฒน์ สนใจ,847,4,2026-02-07T16:49:09.009Z,1.24,5,43,#096735,พรรคพลังประชารัฐ
สนธิ แสงชมภู,731,8,2026-02-07T16:49:13.708Z,1.07,6,11,#febd2f,พรรคเศรษฐกิจ
ยรรยง ผิวอ่อน,565,6,2026-02-07T16:49:11.538Z,0.83,7,27,#70c0fd,พรรคประชาธิปัตย์
ทองไท สิทธินาม,463,2,2026-02-07T16:49:06.598Z,0.68,8,30,#66398e,พรรคแรงงานสร้างชาติ
สุวารี ยืนยง,343,11,2026-02-07T16:49:14.795Z,0.5,9,23,#293f8b,พรรคปวงชนไทย
สุมาลี เครือผือ,319,10,2026-02-07T16:49:14.267Z,0.47,10,6,#243180,พรรครวมไทยสร้างชาติ
รำไพ เพิ่มทอง,280,5,2026-02-07T16:49:09.633Z,0.41,11,18,#a51d33,พรรคพลังสังคมใหม่
