fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
พรณรงค์ นิลนะมะ,24943,2,2026-02-07T16:49:06.598Z,33.56,1,42,#44a26e,พรรคกล้าธรรม
อาณัติ ชินทะวัน,22639,1,2026-02-07T16:49:03.079Z,30.46,2,37,#131c5f,พรรคภูมิใจไทย
ธนกนกอร แสนคำ,11767,3,2026-02-07T16:49:08.063Z,15.83,3,46,#ff6412,พรรคประชาชน
ณพล เชยคำแหง,10811,4,2026-02-07T16:49:09.009Z,14.55,4,9,#fe0000,พรรคเพื่อไทย
ประภาลักษณ์ สิทธิ,2008,5,2026-02-07T16:49:10.255Z,2.7,5,48,#7c26df,พรรคไทยสร้างไทย
ขวัญหทัย ชุมแวงวาปี,1312,9,2026-02-07T16:49:13.980Z,1.77,6,11,#febd2f,พรรคเศรษฐกิจ
ณภัทธิรา โชติโอฬารกุล,470,6,2026-02-07T16:49:11.538Z,0.63,7,27,#70c0fd,พรรคประชาธิปัตย์
อานนท์ ทองนาม,217,7,2026-02-07T16:49:12.802Z,0.29,8,6,#243180,พรรครวมไทยสร้างชาติ
ชาคริต กุลวงศ์,156,8,2026-02-07T16:49:13.708Z,0.21,9,8,#ee5e17,พรรคประชาธิปไตยใหม่
