fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
จอมไกร สวัสดิวงศ์,40018,3,2026-02-07T16:49:07.314Z,44.11,1,27,#70c0fd,พรรคประชาธิปัตย์
สมเกียรติ ทรงสวัสดิ์,20622,5,2026-02-07T16:49:10.564Z,22.73,2,42,#44a26e,พรรคกล้าธรรม
ษฐา ขาวขำ,19567,2,2026-02-07T16:49:05.224Z,21.57,3,37,#131c5f,พรรคภูมิใจไทย
พุฒิพงศ์ ลุ่ยจิ๋ว,7729,7,2026-02-07T16:49:12.470Z,8.52,4,46,#ff6412,พรรคประชาชน
วราโชติ มณีอ่อน,820,1,2026-02-07T16:49:04.719Z,0.9,5,6,#243180,พรรครวมไทยสร้างชาติ
เอกนิติ ภูมา,786,6,2026-02-07T16:49:11.538Z,0.87,6,49,#f6ec4c,พรรคไทยก้าวใหม่
ปกป้อง ราชรักษ์,634,4,2026-02-07T16:49:09.325Z,0.7,7,9,#fe0000,พรรคเพื่อไทย
วิรัตน์ บุญเชิด,461,9,2026-02-07T16:49:13.980Z,0.51,8,29,#36b54c,พรรคไทยภักดี
เกษศิรินทร์ ช่วยศรีทอง,77,8,2026-02-07T16:49:13.129Z,0.08,9,8,#ee5e17,พรรคประชาธิปไตยใหม่
