fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ทิสรัตน์ เลาหพล,42268,3,2026-02-07T16:49:06.995Z,47.6,1,46,#ff6412,พรรคประชาชน
กฤชนนท์ อัยยปัญญา,15968,4,2026-02-07T16:49:09.325Z,17.98,2,9,#fe0000,พรรคเพื่อไทย
ธัณยาการย์ เตชะพัฒน์สิริ,12089,5,2026-02-07T16:49:09.633Z,13.61,3,37,#131c5f,พรรคภูมิใจไทย
ศิริขวัญ นิลกรรณ์,8272,8,2026-02-07T16:49:13.708Z,9.32,4,27,#70c0fd,พรรคประชาธิปัตย์
ณรงค์ชัย ธารณา,3198,9,2026-02-07T16:49:13.980Z,3.6,5,6,#243180,พรรครวมไทยสร้างชาติ
ธรรมราช อาษาสุวรรณ,2061,6,2026-02-07T16:49:11.214Z,2.32,6,11,#febd2f,พรรคเศรษฐกิจ
พีร์ โรจนดารา,1615,7,2026-02-07T16:49:12.175Z,1.82,7,48,#7c26df,พรรคไทยสร้างไทย
ธนาวุฒิ รัศมีฉาย,827,11,2026-02-07T16:49:14.795Z,0.93,8,7,#0ac107,พรรคพลวัต
อรพรรณ วัจนะเสถียรกุล,506,1,2026-02-07T16:49:03.079Z,0.57,9,42,#44a26e,พรรคกล้าธรรม
ฐานวัฒน์ สถิตโอฬารโรจน์,482,14,2026-02-07T16:49:15.052Z,0.54,10,49,#f6ec4c,พรรคไทยก้าวใหม่
ธนิสสร กาสาวพานิชย์,338,10,2026-02-07T16:49:14.535Z,0.38,11,35,#04685b,พรรครักชาติ
ยุทธนา โตอาจ,332,2,2026-02-07T16:49:06.598Z,0.37,12,44,#f3717b,พรรคโอกาสใหม่
ธนพล ศรีสุด,286,15,2026-02-07T16:49:15.052Z,0.32,13,23,#293f8b,พรรคปวงชนไทย
อรญา อุษณะอำไพพงษ์,268,12,2026-02-07T16:49:14.795Z,0.3,14,8,#ee5e17,พรรคประชาธิปไตยใหม่
กิตติศักดิ์โยธิน ธรรมวัตร,154,13,2026-02-07T16:49:15.052Z,0.17,15,24,#f80406,พรรควิชชั่นใหม่
พัฒนภาส ลิ่วมโนคุณ,130,16,2026-02-07T16:49:15.312Z,0.15,16,43,#096735,พรรคพลังประชารัฐ
