fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
ประภาพร ทองปากน้ำ,44192,1,2026-02-07T16:49:03.607Z,68.07,1,9,#fe0000,พรรคเพื่อไทย
นราธิป ภูมิถาวร,11257,4,2026-02-07T16:49:08.376Z,17.34,2,46,#ff6412,พรรคประชาชน
ปรีชา จันทร์นุช,3776,5,2026-02-07T16:49:09.633Z,5.82,3,37,#131c5f,พรรคภูมิใจไทย
ชรินทร์ ชูบุญ,2261,2,2026-02-07T16:49:05.224Z,3.48,4,42,#44a26e,พรรคกล้าธรรม
ชาลิสา กันเพ็ง,1353,7,2026-02-07T16:49:12.470Z,2.08,5,27,#70c0fd,พรรคประชาธิปัตย์
จำปา พลอยกระจ่าง,1118,3,2026-02-07T16:49:08.063Z,1.72,6,11,#febd2f,พรรคเศรษฐกิจ
วิโรจน์ มากมูล,966,6,2026-02-07T16:49:10.889Z,1.49,7,6,#243180,พรรครวมไทยสร้างชาติ
