fullName,totalVotes,candidateNumber,updatedAt,percent,rank,party.code,party.color,party.name
บาฮารุดดีน ยูโซะ,22538,5,2026-02-07T16:49:10.255Z,36.56,1,37,#131c5f,พรรคภูมิใจไทย
เพชรดาว โต๊ะมีนา,15127,3,2026-02-07T16:49:07.677Z,24.54,2,42,#44a26e,พรรคกล้าธรรม
วรวิทย์ บารู,12833,6,2026-02-07T16:49:11.538Z,20.82,3,33,#ba810e,พรรคประชาชาติ
ไวชิต อุดมวนิช,8127,1,2026-02-07T16:49:04.214Z,13.18,4,46,#ff6412,พรรคประชาชน
ชารีฟุดดีน สารีมิง,2327,2,2026-02-07T16:49:05.703Z,3.77,5,27,#70c0fd,พรรคประชาธิปัตย์
มานต์ เบ็ญนา,391,4,2026-02-07T16:49:08.376Z,0.63,6,6,#243180,พรรครวมไทยสร้างชาติ
สมบูรณ์ สีแก้ว,302,7,2026-02-07T16:49:12.470Z,0.49,7,9,#fe0000,พรรคเพื่อไทย
